SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"2862","Perthville Public School","Primary School","Perthville","NSW","2795",149.550052,-33.491052,"Rockley St",3848
"2867","Picton Public School","Primary School","Picton","NSW","2571",150.609346,-34.17624,"Lumsdaine St",3849
"2870","Pilliga Public School","Primary School","Pilliga","NSW","2388",148.889152,-30.352248,"Dangar St",3851
"2884","Pitt Town Public School","Primary School","Pitt Town","NSW","2756",150.859638,-33.583887,"Buckingham St",3852
"2886","Pleasant Hills Public School","Primary School","Pleasant Hills","NSW","2658",146.798512,-35.46651,"Crawford Street",3853
"2887","Plumpton Public School","Primary School","Plumpton","NSW","2761",150.838556,-33.749158,"Bottles Rd",3854
"2890","The Pocket Public School","Primary School","The Pocket","NSW","2483",153.479112,-28.505414,"The Pocket Rd",3857
"2893","Pomona Public School","Primary School","Pomona","NSW","2648",141.89493,-34.025726,"West Bank Darling River Pomona Rd",3858
"2896","Port Kembla Public School","Primary School","Port Kembla","NSW","2505",150.914724,-34.48609,"Gloucester Boulevard",3859
"2899","Port Macquarie Public School","Primary School","Port Macquarie","NSW","2444",152.913872,-31.429869,"Grant St",3863
"2900","Premer Public School","Primary School","Premer","NSW","2381",149.900481,-31.453553,"Ellerslie St",3865
"2901","Prestons Public School","Primary School","Prestons","NSW","2170",150.889961,-33.94642,"Kurrajong & Box Rds",3867
"2902","Pretty Beach Public School","Primary School","Pretty Beach","NSW","2257",151.350019,-33.528039,"4 Pretty Beach Road",3869
"2904","Primbee Public School","Primary School","Primbee","NSW","2502",150.882302,-34.501421,"43 Illowra Cres",3872
"2910","Punchbowl Public School","Primary School","Punchbowl","NSW","2196",151.055905,-33.930613,"1333 Canterbury Road",3876
"2913","Putney Public School","Primary School","Ryde","NSW","2112",151.110973,-33.824562,"Morrison Rd",3878
"2917","Quaama Public School","Primary School","Quaama","NSW","2550",149.86705,-36.464226,"48 Cobargo St",3880
"2918","Quakers Hill Public School","Primary School","Quakers Hill","NSW","2763",150.885265,-33.737467,"Medlow Drive",3881
"2919","Quambone Public School","Primary School","Quambone","NSW","2831",147.872001,-30.930706,"Mungi Mungi St",3882
"2920","Quandialla Public School","Primary School","Quandialla","NSW","2721",147.790454,-34.010362,"Third St",3883
"2922","Queanbeyan Public School","Primary School","Queanbeyan","NSW","2620",149.236154,-35.357526,"Isabella St",3884
"2926","Leppington Public School","Primary School","Leppington","NSW","2179",150.810901,-33.959269,"Rickard Rd",3886
"2927","Raglan Public School","Primary School","Raglan","NSW","2795",149.648098,-33.428034,"Nelson St",3887
"2930","Rainbow Street Public School","Primary School","Randwick","NSW","2031",151.237164,-33.924647,"90-98 Rainbow Street",3889
"2931","Raleigh Public School","Primary School","Raleigh","NSW","2454",153.012586,-30.450064,"North St",3891
"2933","Rand Public School","Primary School","Rand","NSW","2642",146.580442,-35.596087,"Cowal St",3893
"2935","Rankins Springs Public School","Primary School","Rankins Springs","NSW","2669",146.258245,-33.83998,"Boree St",3894
"2937","Rappville Public School","Primary School","Rappville","NSW","2469",152.95533,-29.085815,"Lyons Street",3895
"2943","Raymond Terrace Public School","Primary School","Raymond Terrace","NSW","2324",151.74001,-32.767016,"Adelaide St",3897
"2946","Redhead Public School","Primary School","Redhead","NSW","2290",151.711425,-33.011646,"Hutchinson St",3898
"2948","Red Range Public School","Primary School","Red Range","NSW","2370",151.897373,-29.776132,"Grafton Street",3900
"2950","Regents Park Public School","Primary School","Regents Park","NSW","2143",151.024693,-33.885518,"1 Auburn Rd",3902
"2951","Regentville Public School","Primary School","Regentville","NSW","2745",150.668311,-33.77728,"28-34 Schoolhouse Rd",3904
"2955","Repton Public School","Primary School","Repton","NSW","2454",153.029037,-30.446021,"River St",3906
"2958","Revesby Public School","Primary School","Revesby","NSW","2212",151.017145,-33.944449,"Victoria St",3908
"2965","Richmond North Public School","Primary School","North Richmond","NSW","2754",150.716871,-33.580591,"Grose Vale Rd",3912
"2968","The Risk Public School","Primary School","The Risk","NSW","2474",152.93397,-28.476943,"Kyogle-Woodenbong Rd",3914
"2970","Riverstone Public School","Primary School","Riverstone","NSW","2765",150.871019,-33.678387,"Elizabeth St",3916
"2971","Robertson Public School","Primary School","Robertson","NSW","2577",150.592483,-34.589625,"(PO Box 3121)47-53 Hoddle Street",3917
"2973","Rockdale Public School","Primary School","Rockdale","NSW","2216",151.141681,-33.952626,"Lord St",3918
"2974","Rockley Public School","Primary School","Rockley","NSW","2795",149.562554,-33.69193,"Hill St",3919
"2980","Whian Whian Public School","Primary School","Whian Whian","NSW","2480",153.314317,-28.638212,"Whian Whian Rd",3921
"2983","Rocky River Public School","Primary School","Uralla","NSW","2358",151.491788,-30.612856,"Uralla-Bundarra Rd",3923
"2985","Rollands Plains Upper Public School","Primary School","Rollands Plains","NSW","2441",152.631805,-31.239302,"719 Upper Rollands Plains Rd",3924
"2987","Rosebank Public School","Primary School","Rosebank","NSW","2480",153.388262,-28.678336,"Lismore-Mullumbimby Rd",3925
"2988","Rose Bay Public School","Primary School","Rose Bay","NSW","2029",151.270962,-33.873011,"Albemarle Ave",3927
"2994","Roseville Public School","Primary School","Roseville","NSW","2069",151.188666,-33.781883,"Archbold Rd",3929
"2996","Rosewood Public School","Primary School","Rosewood","NSW","2652",147.860832,-35.670202,"Humula St",3930
"2997","Ross Hill Public School","Primary School","Inverell","NSW","2360",151.103091,-29.770176,"Andrew St",3931
"2999","Rossmore Public School","Primary School","Rossmore","NSW","2171",150.770857,-33.946493,"Bringelly Rd",3933
"3006","Rous Public School","Primary School","Alstonville","NSW","2477",153.406624,-28.870683,"Rous Mill Rd",3946
