Postcode,Suburb,City,State,StateCode,Type Of Property,Rental Median Value,RentalID
"1137","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,562
"1138","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,570
"1139","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,578
"1140","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,586
"1141","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,594
"1142","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,602
"1143","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,610
"1144","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,618
"1145","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,626
"1146","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,634
"1147","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,642
"1148","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,650
"1149","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,658
"1150","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,666
"1151","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,674
"1152","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,682
"1153","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,690
"1154","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,698
"1155","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,706
"1156","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,714
"1157","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,722
"1158","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,730
"1159","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,738
"1160","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,746
"1161","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,754
"1162","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,762
"1163","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,770
"1164","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,778
"1165","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,786
"1166","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,794
"1167","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,802
"1168","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,810
"1169","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,818
"1170","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,826
"1171","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,834
"1172","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,842
"1173","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,850
"1174","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,858
"1175","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,866
"1176","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,874
"1177","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,882
"1178","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,890
"1179","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,898
"1180","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,906
"1181","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,914
"1182","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,922
"1183","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,930
"1184","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,938
"1185","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,946
"1186","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,954
"1187","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,962
"1188","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,970
"1189","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,978
"1190","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,986
"1191","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,994
"1192","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1002
"1193","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1010
"1194","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1018
"1195","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1026
"1196","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1034
"1197","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1042
"1198","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1050
"1199","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1058
"1200","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1066
"1201","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1074
"1202","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1082
"1203","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1090
"1204","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1098
"1205","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1106
"1206","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1114
"1207","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1122
"1291","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1130
"1292","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1138
"1293","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1146
"1294","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1154
"1295","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1162
"1296","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1170
"1297","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1178
"1298","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1186
"1299","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1194
"2000","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1280
"2001","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,1291
"1001","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,3
"1002","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,11
"1003","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,19
"1004","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,27
"1005","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,35
"1006","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,43
"1007","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,51
"1008","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,59
"1009","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,67
"1010","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,75
"1011","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,83
"1020","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,91
"1021","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,99
"1022","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,107
"1023","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,115
"1025","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,123
"1026","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,131
"1027","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,139
"1028","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,147
"1029","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,155
"1030","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,163
"1031","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,171
"1032","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,179
"1033","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,187
"1034","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,195
"1035","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,203
"1036","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,211
"1037","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,219
"1038","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,227
"1039","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,235
"1040","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,243
"1041","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,251
"1042","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,259
"1043","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,267
"1044","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,275
"1045","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,283
"1046","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,291
"1100","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,299
"1101","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,307
"1105","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,315
"1106","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,323
"1107","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,331
"1108","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,339
"1109","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,347
"1110","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,355
"1112","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,363
"1113","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,371
"1114","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,379
"1115","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,387
"1116","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,395
"1117","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,403
"1118","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,411
"1119","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,419
"1120","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,427
"1121","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,435
"1122","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,443
"1123","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,451
"1124","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,459
"1125","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,467
"1126","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,475
"1127","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,483
"1128","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,491
"1129","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,499
"1130","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,507
"1131","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,515
"1132","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,523
"1133","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,531
"1134","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,539
"1135","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,547
"1136","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,555
"1137","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,563
"1138","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,571
"1139","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,579
"1140","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,587
"1141","Sydney","Sydney","New South Wales","NSW","3 BR Flat",1080,595
